date_pk,date_id,date,day,month,quarter,year,day_of_week,the_day,the_month
1109,19821202,1982-12-02,2,12,Q4,1982,4,Thursday,December
1110,19830118,1983-01-18,18,1,Q1,1983,2,Tuesday,January
1111,19820420,1982-04-20,20,4,Q2,1982,2,Tuesday,April
1112,19820503,1982-05-03,3,5,Q2,1982,1,Monday,May
1113,19820726,1982-07-26,26,7,Q3,1982,1,Monday,July
1114,19820427,1982-04-27,27,4,Q2,1982,2,Tuesday,April
1115,19821014,1982-10-14,14,10,Q4,1982,4,Thursday,October
1116,19820119,1982-01-19,19,1,Q1,1982,2,Tuesday,January
1117,19820328,1982-03-28,28,3,Q1,1982,7,Sunday,March
1118,19820810,1982-08-10,10,8,Q3,1982,2,Tuesday,August
1119,19821130,1982-11-30,30,11,Q4,1982,2,Tuesday,November
1120,19821214,1982-12-14,14,12,Q4,1982,2,Tuesday,December
1121,19820611,1982-06-11,11,6,Q2,1982,5,Friday,June
1122,19820305,1982-03-05,5,3,Q1,1982,5,Friday,March
1123,19821001,1982-10-01,1,10,Q4,1982,5,Friday,October
1124,19820709,1982-07-09,9,7,Q3,1982,5,Friday,July
1125,19820806,1982-08-06,6,8,Q3,1982,5,Friday,August
1126,19820108,1982-01-08,8,1,Q1,1982,5,Friday,January
1127,19820122,1982-01-22,22,1,Q1,1982,5,Friday,January
1128,19820507,1982-05-07,7,5,Q2,1982,5,Friday,May
1129,19820115,1982-01-15,15,1,Q1,1982,5,Friday,January
1130,19821126,1982-11-26,26,11,Q4,1982,5,Friday,November
1131,19830124,1983-01-24,24,1,Q1,1983,1,Monday,January
1132,19830214,1983-02-14,14,2,Q1,1983,1,Monday,February
1133,19830110,1983-01-10,10,1,Q1,1983,1,Monday,January
1134,19830307,1983-03-07,7,3,Q1,1983,1,Monday,March
1135,19830321,1983-03-21,21,3,Q1,1983,1,Monday,March
1136,19830516,1983-05-16,16,5,Q2,1983,1,Monday,May
1137,19830425,1983-04-25,25,4,Q2,1983,1,Monday,April
1138,19830509,1983-05-09,9,5,Q2,1983,1,Monday,May
1139,19830606,1983-06-06,6,6,Q2,1983,1,Monday,June
1140,19830613,1983-06-13,13,6,Q2,1983,1,Monday,June
1141,19830704,1983-07-04,4,7,Q3,1983,1,Monday,July
1142,19830711,1983-07-11,11,7,Q3,1983,1,Monday,July
1143,19830718,1983-07-18,18,7,Q3,1983,1,Monday,July
1144,19830919,1983-09-19,19,9,Q3,1983,1,Monday,September
1145,19830925,1983-09-25,25,9,Q3,1983,7,Sunday,September
1146,19830912,1983-09-12,12,9,Q3,1983,1,Monday,September
1147,19831003,1983-10-03,3,10,Q4,1983,1,Monday,October
1148,19831121,1983-11-21,21,11,Q4,1983,1,Monday,November
1149,19831010,1983-10-10,10,10,Q4,1983,1,Monday,October
1150,19831017,1983-10-17,17,10,Q4,1983,1,Monday,October
1151,19831024,1983-10-24,24,10,Q4,1983,1,Monday,October
1152,19831107,1983-11-07,7,11,Q4,1983,1,Monday,November
1153,19831031,1983-10-31,31,10,Q4,1983,1,Monday,October
1154,19831212,1983-12-12,12,12,Q4,1983,1,Monday,December
1155,19831219,1983-12-19,19,12,Q4,1983,1,Monday,December
1156,19830411,1983-04-11,11,4,Q2,1983,1,Monday,April
1157,19830801,1983-08-01,1,8,Q3,1983,1,Monday,August
1158,19830131,1983-01-31,31,1,Q1,1983,1,Monday,January
1159,19830228,1983-02-28,28,2,Q1,1983,1,Monday,February
1160,19830418,1983-04-18,18,4,Q2,1983,1,Monday,April
1161,19830815,1983-08-15,15,8,Q3,1983,1,Monday,August
1162,19830404,1983-04-04,4,4,Q2,1983,1,Monday,April
1163,19830314,1983-03-14,14,3,Q1,1983,1,Monday,March
1164,19830328,1983-03-28,28,3,Q1,1983,1,Monday,March
1165,19830424,1983-04-24,24,4,Q2,1983,7,Sunday,April
1166,19830501,1983-05-01,1,5,Q2,1983,7,Sunday,May
1167,19830808,1983-08-08,8,8,Q3,1983,1,Monday,August
1168,19830523,1983-05-23,23,5,Q2,1983,1,Monday,May
1169,19830620,1983-06-20,20,6,Q2,1983,1,Monday,June
1170,19830830,1983-08-30,30,8,Q3,1983,2,Tuesday,August
1171,19831129,1983-11-29,29,11,Q4,1983,2,Tuesday,November
1172,19840110,1984-01-10,10,1,Q1,1984,2,Tuesday,January
1173,19830426,1983-04-26,26,4,Q2,1983,2,Tuesday,April
1174,19830502,1983-05-02,2,5,Q2,1983,1,Monday,May
1175,19831114,1983-11-14,14,11,Q4,1983,1,Monday,November
1176,19830725,1983-07-25,25,7,Q3,1983,1,Monday,July
1177,19830221,1983-02-21,21,2,Q1,1983,1,Monday,February
1178,19830412,1983-04-12,12,4,Q2,1983,2,Tuesday,April
1179,19830207,1983-02-07,7,2,Q1,1983,1,Monday,February
1180,19830504,1983-05-04,4,5,Q2,1983,3,Wednesday,May
1181,19830708,1983-07-08,8,7,Q3,1983,5,Friday,July
1182,19830930,1983-09-30,30,9,Q3,1983,5,Friday,September
1183,19830304,1983-03-04,4,3,Q1,1983,5,Friday,March
1184,19831226,1983-12-26,26,12,Q4,1983,1,Monday,December
1185,19830506,1983-05-06,6,5,Q2,1983,5,Friday,May
1186,19830610,1983-06-10,10,6,Q2,1983,5,Friday,June
1187,19830114,1983-01-14,14,1,Q1,1983,5,Friday,January
1188,19840109,1984-01-09,9,1,Q1,1984,1,Monday,January
1189,19840409,1984-04-09,9,4,Q2,1984,1,Monday,April
1190,19840402,1984-04-02,2,4,Q2,1984,1,Monday,April
1191,19840514,1984-05-14,14,5,Q2,1984,1,Monday,May
1192,19840227,1984-02-27,27,2,Q1,1984,1,Monday,February
1193,19840507,1984-05-07,7,5,Q2,1984,1,Monday,May
1194,19840611,1984-06-11,11,6,Q2,1984,1,Monday,June
1195,19840618,1984-06-18,18,6,Q2,1984,1,Monday,June
1196,19840709,1984-07-09,9,7,Q3,1984,1,Monday,July
1197,19840716,1984-07-16,16,7,Q3,1984,1,Monday,July
1198,19840723,1984-07-23,23,7,Q3,1984,1,Monday,July
1199,19840730,1984-07-30,30,7,Q3,1984,1,Monday,July
1200,19840806,1984-08-06,6,8,Q3,1984,1,Monday,August
1201,19840917,1984-09-17,17,9,Q3,1984,1,Monday,September
1202,19840924,1984-09-24,24,9,Q3,1984,1,Monday,September
1203,19840910,1984-09-10,10,9,Q3,1984,1,Monday,September
1204,19841001,1984-10-01,1,10,Q4,1984,1,Monday,October
1205,19841119,1984-11-19,19,11,Q4,1984,1,Monday,November
1206,19841008,1984-10-08,8,10,Q4,1984,1,Monday,October
1207,19841015,1984-10-15,15,10,Q4,1984,1,Monday,October
1208,19841029,1984-10-29,29,10,Q4,1984,1,Monday,October
1209,19841112,1984-11-12,12,11,Q4,1984,1,Monday,November
1210,19841022,1984-10-22,22,10,Q4,1984,1,Monday,October
1211,19841210,1984-12-10,10,12,Q4,1984,1,Monday,December
1212,19841217,1984-12-17,17,12,Q4,1984,1,Monday,December
1213,19841224,1984-12-24,24,12,Q4,1984,1,Monday,December
1214,19840312,1984-03-12,12,3,Q1,1984,1,Monday,March
1215,19840423,1984-04-23,23,4,Q2,1984,1,Monday,April
1216,19840813,1984-08-13,13,8,Q3,1984,1,Monday,August
1217,19840123,1984-01-23,23,1,Q1,1984,1,Monday,January
1218,19840206,1984-02-06,6,2,Q1,1984,1,Monday,February
1219,19840305,1984-03-05,5,3,Q1,1984,1,Monday,March
1220,19840319,1984-03-19,19,3,Q1,1984,1,Monday,March
1221,19840416,1984-04-16,16,4,Q2,1984,1,Monday,April
1222,19840506,1984-05-06,6,5,Q2,1984,7,Sunday,May
1223,19840513,1984-05-13,13,5,Q2,1984,7,Sunday,May
1224,19840820,1984-08-20,20,8,Q3,1984,1,Monday,August
1225,19841105,1984-11-05,5,11,Q4,1984,1,Monday,November
1226,19840528,1984-05-28,28,5,Q2,1984,1,Monday,May
1227,19840625,1984-06-25,25,6,Q2,1984,1,Monday,June
1228,19840828,1984-08-28,28,8,Q3,1984,2,Tuesday,August
1229,19841126,1984-11-26,26,11,Q4,1984,1,Monday,November
1230,19850108,1985-01-08,8,1,Q1,1985,2,Tuesday,January
1231,19840424,1984-04-24,24,4,Q2,1984,2,Tuesday,April
1232,19840521,1984-05-21,21,5,Q2,1984,1,Monday,May
1233,19840213,1984-02-13,13,2,Q1,1984,1,Monday,February
1234,19840326,1984-03-26,26,3,Q1,1984,1,Monday,March
1235,19840808,1984-08-08,8,8,Q3,1984,3,Wednesday,August
1236,19840504,1984-05-04,4,5,Q2,1984,5,Friday,May
1237,19840224,1984-02-24,24,2,Q1,1984,5,Friday,February
1238,19840713,1984-07-13,13,7,Q3,1984,5,Friday,July
1239,19840928,1984-09-28,28,9,Q3,1984,5,Friday,September
1240,19840615,1984-06-15,15,6,Q2,1984,5,Friday,June
1241,19840302,1984-03-02,2,3,Q1,1984,5,Friday,March
1242,19840113,1984-01-13,13,1,Q1,1984,5,Friday,January
1243,19840719,1984-07-19,19,7,Q3,1984,4,Thursday,July
1244,19841216,1984-12-16,16,12,Q4,1984,7,Sunday,December
1245,19850107,1985-01-07,7,1,Q1,1985,1,Monday,January
1246,19850218,1985-02-18,18,2,Q1,1985,1,Monday,February
1247,19850225,1985-02-25,25,2,Q1,1985,1,Monday,February
1248,19850318,1985-03-18,18,3,Q1,1985,1,Monday,March
1249,19850408,1985-04-08,8,4,Q2,1985,1,Monday,April
1250,19850415,1985-04-15,15,4,Q2,1985,1,Monday,April
1251,19850422,1985-04-22,22,4,Q2,1985,1,Monday,April
1252,19850406,1985-04-06,6,4,Q2,1985,6,Saturday,April
1253,19850513,1985-05-13,13,5,Q2,1985,1,Monday,May
1254,19850520,1985-05-20,20,5,Q2,1985,1,Monday,May
1255,19850610,1985-06-10,10,6,Q2,1985,1,Monday,June
1256,19850617,1985-06-17,17,6,Q2,1985,1,Monday,June
1257,19850708,1985-07-08,8,7,Q3,1985,1,Monday,July
1258,19850715,1985-07-15,15,7,Q3,1985,1,Monday,July
1259,19850722,1985-07-22,22,7,Q3,1985,1,Monday,July
1260,19850805,1985-08-05,5,8,Q3,1985,1,Monday,August
1261,19850812,1985-08-12,12,8,Q3,1985,1,Monday,August
1262,19850909,1985-09-09,9,9,Q3,1985,1,Monday,September
1263,19850916,1985-09-16,16,9,Q3,1985,1,Monday,September
1264,19851007,1985-10-07,7,10,Q4,1985,1,Monday,October
1265,19851014,1985-10-14,14,10,Q4,1985,1,Monday,October
1266,19851021,1985-10-21,21,10,Q4,1985,1,Monday,October
1267,19851118,1985-11-18,18,11,Q4,1985,1,Monday,November
1268,19851209,1985-12-09,9,12,Q4,1985,1,Monday,December
1269,19851216,1985-12-16,16,12,Q4,1985,1,Monday,December
1270,19851223,1985-12-23,23,12,Q4,1985,1,Monday,December
1271,19850121,1985-01-21,21,1,Q1,1985,1,Monday,January
1272,19850128,1985-01-28,28,1,Q1,1985,1,Monday,January
1273,19850204,1985-02-04,4,2,Q1,1985,1,Monday,February
1274,19850311,1985-03-11,11,3,Q1,1985,1,Monday,March
1275,19850325,1985-03-25,25,3,Q1,1985,1,Monday,March
1276,19850401,1985-04-01,1,4,Q2,1985,1,Monday,April
1277,19850429,1985-04-29,29,4,Q2,1985,1,Monday,April
1278,19850506,1985-05-06,6,5,Q2,1985,1,Monday,May
1279,19850819,1985-08-19,19,8,Q3,1985,1,Monday,August
1280,19850923,1985-09-23,23,9,Q3,1985,1,Monday,September
1281,19851104,1985-11-04,4,11,Q4,1985,1,Monday,November
1282,19851111,1985-11-11,11,11,Q4,1985,1,Monday,November
1283,19850527,1985-05-27,27,5,Q2,1985,1,Monday,May
1284,19850624,1985-06-24,24,6,Q2,1985,1,Monday,June
1285,19850827,1985-08-27,27,8,Q3,1985,2,Tuesday,August
1286,19851125,1985-11-25,25,11,Q4,1985,1,Monday,November
1287,19860114,1986-01-14,14,1,Q1,1986,2,Tuesday,January
1288,19850510,1985-05-10,10,5,Q2,1985,5,Friday,May
1289,19850308,1985-03-08,8,3,Q1,1985,5,Friday,March
1290,19851004,1985-10-04,4,10,Q4,1985,5,Friday,October
1291,19850802,1985-08-02,2,8,Q3,1985,5,Friday,August
1292,19850614,1985-06-14,14,6,Q2,1985,5,Friday,June
1293,19850419,1985-04-19,19,4,Q2,1985,5,Friday,April
1294,19851220,1985-12-20,20,12,Q4,1985,5,Friday,December
1295,19850118,1985-01-18,18,1,Q1,1985,5,Friday,January
1296,19861124,1986-11-24,24,11,Q4,1986,1,Monday,November
1297,19860106,1986-01-06,6,1,Q1,1986,1,Monday,January
1298,19860203,1986-02-03,3,2,Q1,1986,1,Monday,February
1299,19861110,1986-11-10,10,11,Q4,1986,1,Monday,November
1300,19860414,1986-04-14,14,4,Q2,1986,1,Monday,April
1301,19860407,1986-04-07,7,4,Q2,1986,1,Monday,April
1302,19860505,1986-05-05,5,5,Q2,1986,1,Monday,May
1303,19860428,1986-04-28,28,4,Q2,1986,1,Monday,April
1304,19860519,1986-05-19,19,5,Q2,1986,1,Monday,May
1305,19860609,1986-06-09,9,6,Q2,1986,1,Monday,June
1306,19860616,1986-06-16,16,6,Q2,1986,1,Monday,June
1307,19860707,1986-07-07,7,7,Q3,1986,1,Monday,July
1308,19860721,1986-07-21,21,7,Q3,1986,1,Monday,July
1309,19860728,1986-07-28,28,7,Q3,1986,1,Monday,July
1310,19860804,1986-08-04,4,8,Q3,1986,1,Monday,August
1311,19860908,1986-09-08,8,9,Q3,1986,1,Monday,September
1312,19860929,1986-09-29,29,9,Q3,1986,1,Monday,September
1313,19861006,1986-10-06,6,10,Q4,1986,1,Monday,October
1314,19861013,1986-10-13,13,10,Q4,1986,1,Monday,October
1315,19860331,1986-03-31,31,3,Q1,1986,1,Monday,March
1316,19861027,1986-10-27,27,10,Q4,1986,1,Monday,October
1317,19861020,1986-10-20,20,10,Q4,1986,1,Monday,October
1318,19860310,1986-03-10,10,3,Q1,1986,1,Monday,March
1319,19860811,1986-08-11,11,8,Q3,1986,1,Monday,August
1320,19860127,1986-01-27,27,1,Q1,1986,1,Monday,January
1321,19860210,1986-02-10,10,2,Q1,1986,1,Monday,February
1322,19861117,1986-11-17,17,11,Q4,1986,1,Monday,November
1323,19860317,1986-03-17,17,3,Q1,1986,1,Monday,March
1324,19860324,1986-03-24,24,3,Q1,1986,1,Monday,March
1325,19860421,1986-04-21,21,4,Q2,1986,1,Monday,April
1326,19860915,1986-09-15,15,9,Q3,1986,1,Monday,September
1327,19860512,1986-05-12,12,5,Q2,1986,1,Monday,May
1328,19860818,1986-08-18,18,8,Q3,1986,1,Monday,August
1329,19860922,1986-09-22,22,9,Q3,1986,1,Monday,September
1330,19861103,1986-11-03,3,11,Q4,1986,1,Monday,November
1331,19860526,1986-05-26,26,5,Q2,1986,1,Monday,May
1332,19860623,1986-06-23,23,6,Q2,1986,1,Monday,June
1333,19860826,1986-08-26,26,8,Q3,1986,2,Tuesday,August
1334,19861201,1986-12-01,1,12,Q4,1986,1,Monday,December
1335,19860224,1986-02-24,24,2,Q1,1986,1,Monday,February
1336,19860307,1986-03-07,7,3,Q1,1986,5,Friday,March
1337,19860403,1986-04-03,3,4,Q2,1986,4,Thursday,April
1338,19861003,1986-10-03,3,10,Q4,1986,5,Friday,October
1339,19860718,1986-07-18,18,7,Q3,1986,5,Friday,July
1340,19861226,1986-12-26,26,12,Q4,1986,5,Friday,December
1341,19861001,1986-10-01,1,10,Q4,1986,3,Wednesday,October
1342,19860613,1986-06-13,13,6,Q2,1986,5,Friday,June
1343,19860509,1986-05-09,9,5,Q2,1986,5,Friday,May
1344,19860523,1986-05-23,23,5,Q2,1986,5,Friday,May
1345,19860404,1986-04-04,4,4,Q2,1986,5,Friday,April
1346,19860117,1986-01-17,17,1,Q1,1986,5,Friday,January
1347,19870126,1987-01-26,26,1,Q1,1987,1,Monday,January
1348,19870720,1987-07-20,20,7,Q3,1987,1,Monday,July
1349,19871109,1987-11-09,9,11,Q4,1987,1,Monday,November
1350,19871123,1987-11-23,23,11,Q4,1987,1,Monday,November
1351,19870105,1987-01-05,5,1,Q1,1987,1,Monday,January
1352,19871116,1987-11-16,16,11,Q4,1987,1,Monday,November
1353,19870323,1987-03-23,23,3,Q1,1987,1,Monday,March
1354,19870413,1987-04-13,13,4,Q2,1987,1,Monday,April
1355,19870406,1987-04-06,6,4,Q2,1987,1,Monday,April
1356,19870504,1987-05-04,4,5,Q2,1987,1,Monday,May
1357,19870914,1987-09-14,14,9,Q3,1987,1,Monday,September
1358,19870518,1987-05-18,18,5,Q2,1987,1,Monday,May
1359,19870608,1987-06-08,8,6,Q2,1987,1,Monday,June
1360,19870615,1987-06-15,15,6,Q2,1987,1,Monday,June
1361,19870706,1987-07-06,6,7,Q3,1987,1,Monday,July
1362,19870727,1987-07-27,27,7,Q3,1987,1,Monday,July
1363,19870713,1987-07-13,13,7,Q3,1987,1,Monday,July
1364,19870803,1987-08-03,3,8,Q3,1987,1,Monday,August
1365,19870928,1987-09-28,28,9,Q3,1987,1,Monday,September
1366,19871005,1987-10-05,5,10,Q4,1987,1,Monday,October
1367,19871012,1987-10-12,12,10,Q4,1987,1,Monday,October
1368,19871026,1987-10-26,26,10,Q4,1987,1,Monday,October
1369,19871019,1987-10-19,19,10,Q4,1987,1,Monday,October
1370,19861230,1986-12-30,30,12,Q4,1986,2,Tuesday,December
1371,19871110,1987-11-10,10,11,Q4,1987,2,Tuesday,November
1372,19871102,1987-11-02,2,11,Q4,1987,1,Monday,November
1373,19870810,1987-08-10,10,8,Q3,1987,1,Monday,August
1374,19870202,1987-02-02,2,2,Q1,1987,1,Monday,February
1375,19870209,1987-02-09,9,2,Q1,1987,1,Monday,February
1376,19870223,1987-02-23,23,2,Q1,1987,1,Monday,February
1377,19870216,1987-02-16,16,2,Q1,1987,1,Monday,February
1378,19870316,1987-03-16,16,3,Q1,1987,1,Monday,March
1379,19870330,1987-03-30,30,3,Q1,1987,1,Monday,March
1380,19870420,1987-04-20,20,4,Q2,1987,1,Monday,April
1381,19870427,1987-04-27,27,4,Q2,1987,1,Monday,April
1382,19870511,1987-05-11,11,5,Q2,1987,1,Monday,May
1383,19870817,1987-08-17,17,8,Q3,1987,1,Monday,August
1384,19870921,1987-09-21,21,9,Q3,1987,1,Monday,September
1385,19871020,1987-10-20,20,10,Q4,1987,2,Tuesday,October
1386,19870824,1987-08-24,24,8,Q3,1987,1,Monday,August
1387,19870525,1987-05-25,25,5,Q2,1987,1,Monday,May
1388,19870622,1987-06-22,22,6,Q2,1987,1,Monday,June
1389,19870901,1987-09-01,1,9,Q3,1987,2,Tuesday,September
1390,19870112,1987-01-12,12,1,Q1,1987,1,Monday,January
1391,19871202,1987-12-02,2,12,Q4,1987,3,Wednesday,December
1392,19870407,1987-04-07,7,4,Q2,1987,2,Tuesday,April
1393,19870320,1987-03-20,20,3,Q1,1987,5,Friday,March
1394,19870313,1987-03-13,13,3,Q1,1987,5,Friday,March
1395,19870724,1987-07-24,24,7,Q3,1987,5,Friday,July
1396,19871002,1987-10-02,2,10,Q4,1987,5,Friday,October
1397,19870612,1987-06-12,12,6,Q2,1987,5,Friday,June
1398,19870130,1987-01-30,30,1,Q1,1987,5,Friday,January
1399,19870508,1987-05-08,8,5,Q2,1987,5,Friday,May
1400,19870403,1987-04-03,3,4,Q2,1987,5,Friday,April
1401,19871218,1987-12-18,18,12,Q4,1987,5,Friday,December
1402,19870506,1987-05-06,6,5,Q2,1987,3,Wednesday,May
1403,19880125,1988-01-25,25,1,Q1,1988,1,Monday,January
1404,19880718,1988-07-18,18,7,Q3,1988,1,Monday,July
1405,19881031,1988-10-31,31,10,Q4,1988,1,Monday,October
1406,19881121,1988-11-21,21,11,Q4,1988,1,Monday,November
1407,19880104,1988-01-04,4,1,Q1,1988,1,Monday,January
1408,19881107,1988-11-07,7,11,Q4,1988,1,Monday,November
1409,19880411,1988-04-11,11,4,Q2,1988,1,Monday,April
1410,19880919,1988-09-19,19,9,Q3,1988,1,Monday,September
1411,19880502,1988-05-02,2,5,Q2,1988,1,Monday,May
1412,19880516,1988-05-16,16,5,Q2,1988,1,Monday,May
1413,19880606,1988-06-06,6,6,Q2,1988,1,Monday,June
1414,19880613,1988-06-13,13,6,Q2,1988,1,Monday,June
1415,19880704,1988-07-04,4,7,Q3,1988,1,Monday,July
1416,19880711,1988-07-11,11,7,Q3,1988,1,Monday,July
1417,19880725,1988-07-25,25,7,Q3,1988,1,Monday,July
1418,19880815,1988-08-15,15,8,Q3,1988,1,Monday,August
1419,19880801,1988-08-01,1,8,Q3,1988,1,Monday,August
1420,19880926,1988-09-26,26,9,Q3,1988,1,Monday,September
1421,19881004,1988-10-04,4,10,Q4,1988,2,Tuesday,October
1422,19881010,1988-10-10,10,10,Q4,1988,1,Monday,October
1423,19881017,1988-10-17,17,10,Q4,1988,1,Monday,October
1424,19871228,1987-12-28,28,12,Q4,1987,1,Monday,December
1425,19880222,1988-02-22,22,2,Q1,1988,1,Monday,February
1426,19881024,1988-10-24,24,10,Q4,1988,1,Monday,October
1427,19880808,1988-08-08,8,8,Q3,1988,1,Monday,August
1428,19880208,1988-02-08,8,2,Q1,1988,1,Monday,February
1429,19880215,1988-02-15,15,2,Q1,1988,1,Monday,February
1430,19880314,1988-03-14,14,3,Q1,1988,1,Monday,March
1431,19880229,1988-02-29,29,2,Q1,1988,1,Monday,February
1432,19880307,1988-03-07,7,3,Q1,1988,1,Monday,March
1433,19880418,1988-04-18,18,4,Q2,1988,1,Monday,April
1434,19880425,1988-04-25,25,4,Q2,1988,1,Monday,April
1435,19880509,1988-05-09,9,5,Q2,1988,1,Monday,May
1436,19880912,1988-09-12,12,9,Q3,1988,1,Monday,September
1437,19881114,1988-11-14,14,11,Q4,1988,1,Monday,November
1438,19881018,1988-10-18,18,10,Q4,1988,2,Tuesday,October
1439,19881108,1988-11-08,8,11,Q4,1988,2,Tuesday,November
1440,19881003,1988-10-03,3,10,Q4,1988,1,Monday,October
1441,19880822,1988-08-22,22,8,Q3,1988,1,Monday,August
1442,19880523,1988-05-23,23,5,Q2,1988,1,Monday,May
1443,19880620,1988-06-20,20,6,Q2,1988,1,Monday,June
1444,19880829,1988-08-29,29,8,Q3,1988,1,Monday,August
1445,19880111,1988-01-11,11,1,Q1,1988,1,Monday,January
1446,19881130,1988-11-30,30,11,Q4,1988,3,Wednesday,November
1447,19880328,1988-03-28,28,3,Q1,1988,1,Monday,March
1448,19880920,1988-09-20,20,9,Q3,1988,2,Tuesday,September
1449,19880408,1988-04-08,8,4,Q2,1988,5,Friday,April
1450,19880722,1988-07-22,22,7,Q3,1988,5,Friday,July
1451,19880205,1988-02-05,5,2,Q1,1988,5,Friday,February
1452,19880610,1988-06-10,10,6,Q2,1988,5,Friday,June
1453,19880506,1988-05-06,6,5,Q2,1988,5,Friday,May
1454,19880204,1988-02-04,4,2,Q1,1988,4,Thursday,February
1455,19881216,1988-12-16,16,12,Q4,1988,5,Friday,December
1456,19890206,1989-02-06,6,2,Q1,1989,1,Monday,February
1457,19890410,1989-04-10,10,4,Q2,1989,1,Monday,April
1458,19890717,1989-07-17,17,7,Q3,1989,1,Monday,July
1459,19891106,1989-11-06,6,11,Q4,1989,1,Monday,November
1460,19891120,1989-11-20,20,11,Q4,1989,1,Monday,November
1461,19890109,1989-01-09,9,1,Q1,1989,1,Monday,January
1462,19890227,1989-02-27,27,2,Q1,1989,1,Monday,February
1463,19890417,1989-04-17,17,4,Q2,1989,1,Monday,April
1464,19890619,1989-06-19,19,6,Q2,1989,1,Monday,June
1465,19890501,1989-05-01,1,5,Q2,1989,1,Monday,May
1466,19890911,1989-09-11,11,9,Q3,1989,1,Monday,September
1467,19890522,1989-05-22,22,5,Q2,1989,1,Monday,May
1468,19890612,1989-06-12,12,6,Q2,1989,1,Monday,June
1469,19890710,1989-07-10,10,7,Q3,1989,1,Monday,July
1470,19890731,1989-07-31,31,7,Q3,1989,1,Monday,July
1471,19890724,1989-07-24,24,7,Q3,1989,1,Monday,July
1472,19890807,1989-08-07,7,8,Q3,1989,1,Monday,August
1473,19890925,1989-09-25,25,9,Q3,1989,1,Monday,September
1474,19891002,1989-10-02,2,10,Q4,1989,1,Monday,October
1475,19891009,1989-10-09,9,10,Q4,1989,1,Monday,October
1476,19891003,1989-10-03,3,10,Q4,1989,2,Tuesday,October
1477,19891016,1989-10-16,16,10,Q4,1989,1,Monday,October
1478,19890102,1989-01-02,2,1,Q1,1989,1,Monday,January
1479,19891023,1989-10-23,23,10,Q4,1989,1,Monday,October
1480,19891030,1989-10-30,30,10,Q4,1989,1,Monday,October
1481,19890814,1989-08-14,14,8,Q3,1989,1,Monday,August
1482,19890220,1989-02-20,20,2,Q1,1989,1,Monday,February
1483,19890213,1989-02-13,13,2,Q1,1989,1,Monday,February
1484,19890320,1989-03-20,20,3,Q1,1989,1,Monday,March
1485,19890313,1989-03-13,13,3,Q1,1989,1,Monday,March
1486,19890424,1989-04-24,24,4,Q2,1989,1,Monday,April
1487,19890508,1989-05-08,8,5,Q2,1989,1,Monday,May
1488,19890515,1989-05-15,15,5,Q2,1989,1,Monday,May
1489,19890918,1989-09-18,18,9,Q3,1989,1,Monday,September
1490,19891113,1989-11-13,13,11,Q4,1989,1,Monday,November
1491,19891017,1989-10-17,17,10,Q4,1989,2,Tuesday,October
1492,19891107,1989-11-07,7,11,Q4,1989,2,Tuesday,November
1493,19890306,1989-03-06,6,3,Q1,1989,1,Monday,March
1494,19890821,1989-08-21,21,8,Q3,1989,1,Monday,August
1495,19890529,1989-05-29,29,5,Q2,1989,1,Monday,May
1496,19890626,1989-06-26,26,6,Q2,1989,1,Monday,June
1497,19890828,1989-08-28,28,8,Q3,1989,1,Monday,August
1498,19890116,1989-01-16,16,1,Q1,1989,1,Monday,January
1499,19891128,1989-11-28,28,11,Q4,1989,2,Tuesday,November
1500,19890228,1989-02-28,28,2,Q1,1989,2,Tuesday,February
1501,19890404,1989-04-04,4,4,Q2,1989,2,Tuesday,April
1502,19890203,1989-02-03,3,2,Q1,1989,5,Friday,February
1503,19890407,1989-04-07,7,4,Q2,1989,5,Friday,April
1504,19890720,1989-07-20,20,7,Q3,1989,4,Thursday,July
1505,19890721,1989-07-21,21,7,Q3,1989,5,Friday,July
1506,19890616,1989-06-16,16,6,Q2,1989,5,Friday,June
1507,19890505,1989-05-05,5,5,Q2,1989,5,Friday,May
1508,19890512,1989-05-12,12,5,Q2,1989,5,Friday,May
1509,19890408,1989-04-08,8,4,Q2,1989,6,Saturday,April
1510,19890507,1989-05-07,7,5,Q2,1989,7,Sunday,May
1511,19891215,1989-12-15,15,12,Q4,1989,5,Friday,December
1512,19890615,1989-06-15,15,6,Q2,1989,4,Thursday,June
1513,19900101,1990-01-01,1,1,Q1,1990,1,Monday,January
1514,19900108,1990-01-08,8,1,Q1,1990,1,Monday,January
1515,19900115,1990-01-15,15,1,Q1,1990,1,Monday,January
1516,19900201,1990-02-01,1,2,Q1,1990,4,Thursday,February
1517,19900202,1990-02-02,2,2,Q1,1990,5,Friday,February
1518,19900205,1990-02-05,5,2,Q1,1990,1,Monday,February
1519,19900212,1990-02-12,12,2,Q1,1990,1,Monday,February
1520,19900219,1990-02-19,19,2,Q1,1990,1,Monday,February
1521,19900226,1990-02-26,26,2,Q1,1990,1,Monday,February
1522,19900305,1990-03-05,5,3,Q1,1990,1,Monday,March
1523,19900316,1990-03-16,16,3,Q1,1990,5,Friday,March
1524,19900323,1990-03-23,23,3,Q1,1990,5,Friday,March
1525,19900330,1990-03-30,30,3,Q1,1990,5,Friday,March
1526,19900402,1990-04-02,2,4,Q2,1990,1,Monday,April
1527,19900409,1990-04-09,9,4,Q2,1990,1,Monday,April
1528,19900416,1990-04-16,16,4,Q2,1990,1,Monday,April
